Report runtime: June 11th 242024, 4:42:22 pm,,,,,,The Port Authority of New York and New Jersey
User: aanantharajah,,,,,,,TRN-201 Transaction Research
 
Parameters for this report
Plazas: All,Lanes: All,Lane State: All,Special/Escort: All,Charged Class: All,Tag Class: All,Tag Agency: All,Tag: None,AVC Class: All,Speed: All,Mismatch Flag: All,Plan Type: All,Recon Type: All,Revenue Type: All,Plate State: All,Plate: None,Plate Type: All,Hide/Show Plate Data Column: Hide,Start Date: 06/11/2024,Start Time: 12:00 pm,End Date: 06/11/2024,End Time: 3:00 pm,Recon Code: All,Hot List Reason: All,Transaction Flag: All,Resolution: All,Single Tag Only: No,Flush Converted Only: No,Tag Protocols: All

Transaction Research
,,,,,,,Lane Config,,,,Transaction,,,,,,Tag,,,,,,Class,,,,Axles,,,,,,,,,,Revenue,,,,,,Hot List,,Processing,,,,,ATRN File,,,,,,,Reconciliation,,,,
LT,4,06/11/2024 14:52:02.538,06/11/2024 14:52:02.281,6,x,x,O,U,U,Y,1548032025,Norm,N,Y,1,17,008-13709216,V, ,Y,IAG,58, ,1,72, , ,N,2, ,136,170,454,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:52:04.971,06/11/2024 14:52:04.760,6,x,x,O,U,U,Y,1548032051,Norm,N,Y,1,16,006-11028291,V, ,Y,IAG,50, ,1,72, , ,N,2, ,170,195,482,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:52:07.097, ,6,x,x,O,U,U,Y,1548033995,Norm,N,Y,1,16,-, , , ,-, , , , , , ,N, , ,139,177,502,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:52:11.521, ,6,x,x,O,U,U,Y,1548034002,Norm,N,Y,1,23,-, , , ,-, , , , , , ,N, , ,162,180,474,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:52:27.753,06/11/2024 14:52:27.589,6,x,x,O,U,U,Y,1548032199,Norm,N,Y,1,27,008-16251815,V, ,Y,IAG,29, ,1,72, , ,N,2, ,161,169,481,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:52:30.452,06/11/2024 14:52:30.283,6,x,x,O,U,U,Y,1548032230,Norm,N,Y,1,27,008-12114111,I, ,N,IAG,18, ,1,72, , ,N,2, ,136,174,372,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:52:30.502,06/11/2024 14:52:30.297,6,x,x,O,U,U,Y,1548032214,Norm,N,Y,1,34,004-07825301,V, ,Y,IAG,21, ,1,72, , ,N,2, ,188,178,588,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:52:32.056,06/11/2024 14:52:31.797,6,x,x,O,U,U,Y,1548032242,Norm,N,Y,1,26,005-04464399,V, ,Y,IAG,16, ,1,72, , ,N,2, ,182,165,484,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:52:34.241,06/11/2024 14:52:33.989,6,x,x,O,U,U,Y,1548032278,Norm,N,Y,1,26,008-16349917,V, ,Y,IAG,9, ,1,72, , ,N,2, ,178,185,480,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:52:35.370, ,6,x,x,O,U,U,Y,1548034190,Norm,N,Y,1,23,-, , , ,-, , , , , , ,N, , ,215,196,617,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:52:37.587,06/11/2024 14:52:37.315,6,x,x,O,U,U,Y,1548032308,Norm,N,Y,1,22,022-13586713,V, ,Y,IAG,25, ,1,264, , ,N,2, ,187,156,485,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:52:39.229,06/11/2024 14:52:38.911,6,x,x,O,U,U,Y,1548032309,Norm,N,Y,1,28,005-04518754,V, ,Y,IAG,22, ,1,72, , ,N,2, ,249,201,594,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:52:39.727, ,6,x,x,O,U,U,Y,1548034220,Norm,N,Y,1,24,-, , , ,-, , , , , , ,N, , ,245,182,598,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,2,06/11/2024 14:52:40.677, ,6,x,x,O,U,U,Y,1548034230,Norm,N,Y,1,19,-, , , ,-, , , , , , ,Y, , ,325,280,1207,0,3,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:52:40.860,06/11/2024 14:52:40.684,6,x,x,O,U,U,Y,1548032331,Norm,N,Y,1,27,004-11558785,V, ,Y,IAG,27, ,1,72, , ,N,2, ,180,183,507,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:52:42.456, ,6,x,x,O,U,U,Y,1548034239,Norm,N,Y,1,22,-, , , ,-, , , , , , ,N, , ,188,192,580,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:52:44.610,06/11/2024 14:52:44.407,6,x,x,O,U,U,Y,1548032385,Norm,N,Y,1,21,005-03773121,V,SC,Y,IAG,35, ,1,72, , ,N,2, ,167,185,513,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:52:46.345,06/11/2024 14:52:46.253,6,x,x,O,U,U,Y,1548032386,Norm,N,Y,1,32,004-07818576,B, ,Y,IAG,29, ,1,72, , ,N,2, ,159,174,452,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:52:46.704,06/11/2024 14:52:46.512,6,x,x,O,U,U,Y,1548032406,Norm,N,Y,1,22,005-03275402,V, ,Y,IAG,5, ,1,72, , ,N,2, ,159,191,476,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,2,06/11/2024 14:52:48.894, ,6,x,x,O,U,U,Y,1548034318,Norm,N,Y,1,19,-, , , ,-, , , , , , ,Y, , ,340,275,1453,0,4,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:52:48.926,06/11/2024 14:52:48.703,6,x,x,O,U,U,Y,1548032424,Norm,N,Y,1,22,008-16005337,V, ,Y,IAG,33, ,1,72, , ,N,2, ,136,161,460,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:52:51.604, ,6,x,x,O,U,U,Y,1548034340,Norm,N,Y,1,21,-, , , ,-, , , , , , ,N, , ,244,202,617,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:52:54.847,06/11/2024 14:52:54.626,6,x,x,O,U,U,Y,1548032460,Norm,N,Y,1,19,008-15914285,V, ,Y,IAG,8, ,1,72, , ,N,2, ,174,203,503,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:52:56.962, ,6,x,x,O,U,U,Y,1548034386,Norm,N,Y,1,19,-, , , ,-, , , , , , ,N, , ,186,209,590,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:00.017, ,6,x,x,O,U,U,Y,1548034424,Norm,N,Y,1,15,-, , , ,-, , , , , , ,N, , ,280,190,726,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:02.566, ,6,x,x,O,U,U,Y,1548034452,Norm,N,Y,1,13,-, , , ,-, , , , , , ,N, , ,136,190,480,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:53:04.115,06/11/2024 14:53:03.977,6,x,x,O,U,U,Y,1548032523,Norm,N,Y,1,28,008-14568489,V, ,Y,IAG,25, ,1,72, , ,N,2, ,162,180,472,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:04.386, ,6,x,x,O,U,U,Y,1548034456,Norm,N,Y,1,15,-, , , ,-, , , , , , ,N, , ,200,211,551,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:06.806, ,6,x,x,O,U,U,Y,1548034492,Norm,N,Y,1,14,-, , , ,-, , , , , , ,N, , ,141,178,493,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:53:07.407,06/11/2024 14:53:07.286,6,x,x,O,U,U,Y,1548032563,Norm,N,Y,1,24,005-04041689,V, ,Y,IAG,31, ,1,72, , ,N,2, ,171,192,486,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:09.952, ,6,x,x,O,U,U,Y,1548034542,Norm,N,Y,1,13,-, , , ,-, , , , , , ,N, , ,170,202,551,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:53:10.305, ,6,x,x,O,U,U,Y,1548034507,Norm,N,Y,1,23,-, , , ,-, , , , , , ,N, , ,171,181,581,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:53:12.061,06/11/2024 14:53:11.958,6,x,x,O,U,U,Y,1548032620,Norm,N,Y,1,21,008-11891337,V,SC,Y,IAG,36, ,1,72, , ,N,2, ,138,178,490,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:12.884,06/11/2024 14:53:12.709,6,x,x,O,U,U,Y,1548032645,Norm,N,Y,1,16,022-12080407,V, ,Y,IAG,41, ,1,72, , ,N,2, ,157,183,456,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:53:13.942,06/11/2024 14:53:13.717,6,x,x,O,U,U,Y,1548032644,Norm,N,Y,1,22,008-16638978,V,C,Y,IAG,20, ,1,72, , ,N,2, ,169,192,496,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:53:16.435,06/11/2024 14:53:16.277,6,x,x,O,U,U,Y,1548032669,Norm,N,Y,1,21,022-14689899,V, ,Y,IAG,28, ,1,72, , ,N,2, ,169,203,503,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:16.525,06/11/2024 14:53:16.255,6,x,x,O,U,U,Y,1548032681,Norm,N,Y,1,16,022-15484937,V, ,Y,IAG,51, ,1,72, , ,N,2, ,159,192,473,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:19.673,06/11/2024 14:53:19.360,6,x,x,O,U,U,Y,1548032713,Norm,N,Y,1,17,008-13772633,V, ,Y,IAG,32, ,1,72, , ,N,2, ,196,203,559,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:53:20.868, ,6,x,x,O,U,U,Y,1548034623,Norm,N,Y,1,20,-, , , ,-, , , , , , ,N, , ,272,217,668,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,2,06/11/2024 14:53:21.223,06/11/2024 14:40:57.205,0,x,x,O,U,U,Y,1548030673,Spur,N,Y,1,0,022-13283135,V, ,N,IAG,31, ,9,399, , ,N,3, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,2,06/11/2024 14:53:21.223,06/11/2024 14:42:37.162,0,x,x,O,U,U,Y,1548030674,Spur,N,Y,1,0,022-13282566,V, ,N,IAG,24, ,9,399, , ,N,3, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,2,06/11/2024 14:53:21.223,06/11/2024 14:43:08.804,0,x,x,O,U,U,Y,1548030675,Spur,N,Y,1,0,022-13279006,B, ,N,IAG,29, ,8,395, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,2,06/11/2024 14:53:21.223,06/11/2024 14:43:33.744,0,x,x,O,U,U,Y,1548030676,Spur,N,Y,1,0,005-03512310,V, ,N,IAG,7, ,8,395, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,2,06/11/2024 14:53:21.223,06/11/2024 14:44:56.994,0,x,x,O,U,U,Y,1548030677,Spur,N,Y,1,0,022-12315814,B, ,N,IAG,37, ,8,395, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,2,06/11/2024 14:53:21.223,06/11/2024 14:44:59.606,0,x,x,O,U,U,Y,1548030678,Spur,N,Y,1,0,004-09368577,B, ,N,IAG,30, ,9,399, , ,N,3, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:21.974, ,6,x,x,O,U,U,Y,1548034649,Norm,N,Y,1,18,-, , , ,-, , , , , , ,N, , ,171,184,541,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:53:22.497,06/11/2024 14:53:22.323,6,x,x,O,U,U,Y,1548032731,Norm,N,Y,1,19,022-11964545,V, ,Y,IAG,35, ,1,72, , ,N,2, ,136,174,471,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:53:24.073,06/11/2024 14:53:23.854,6,x,x,O,U,U,Y,1548032751,Norm,N,Y,1,19,005-04126971,V, ,Y,IAG,39, ,1,72, , ,N,2, ,141,178,450,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:24.397,06/11/2024 14:53:24.171,6,x,x,O,U,U,Y,1548032752,Norm,N,Y,1,18,022-14401548,V, ,Y,IAG,22, ,1,72, , ,N,2, ,148,178,384,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:26.093,06/11/2024 14:53:25.937,6,x,x,O,U,U,Y,1548032770,Norm,N,Y,1,18,022-10118136,V, ,Y,IAG,8, ,1,72, , ,N,2, ,134,164,417,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:53:26.404, ,6,x,x,O,U,U,Y,1548034689,Norm,N,Y,1,21,-, , , ,-, , , , , , ,N, , ,162,175,473,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:53:27.826,06/11/2024 14:53:27.592,6,x,x,O,U,U,Y,1548032780,Norm,N,Y,1,20,008-15536192,V, ,Y,IAG,24, ,1,72, , ,N,2, ,159,201,473,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:28.907,06/11/2024 14:53:28.629,6,x,x,O,U,U,Y,1548032789,Norm,N,Y,1,19,022-13567552,V, ,Y,IAG,36, ,1,200, , ,N,2, ,175,171,487,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:53:30.324,06/11/2024 14:53:30.100,6,x,x,O,U,U,Y,1548032816,Norm,N,Y,1,17,022-16316531,V, ,Y,IAG,53, ,1,72, , ,N,2, ,139,176,464,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:30.826, ,6,x,x,O,U,U,Y,1548034735,Norm,N,Y,1,19,-, , , ,-, , , , , , ,N, , ,159,182,455,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:53:32.641,06/11/2024 14:53:32.484,6,x,x,O,U,U,Y,1548032858,Norm,N,Y,1,14,005-02974042,V,S,Y,IAG,48, ,1,72, , ,N,2, ,161,183,494,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:33.041,06/11/2024 14:53:32.874,6,x,x,O,U,U,Y,1548032852,Norm,N,Y,1,19,008-16535412,I, ,N,IAG,33, ,1,72, , ,N,2, ,139,177,505,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:53:34.944,06/11/2024 14:53:34.632,6,x,x,O,U,U,Y,1548032885,Norm,N,Y,1,13,004-06051246,V, ,Y,IAG,26, ,1,72, , ,N,2, ,161,197,467,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:36.357, ,6,x,x,O,U,U,Y,1548034818,Norm,N,Y,1,17,-, , , ,-, , , , , , ,N, , ,254,191,556,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:53:37.979,06/11/2024 14:53:37.744,6,x,x,O,U,U,Y,1548032900,Norm,N,Y,1,14,008-16014260,V, ,Y,IAG,31, ,1,72, , ,N,2, ,137,184,488,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:38.568, ,6,x,x,O,U,U,Y,1548034846,Norm,N,Y,1,17,-, , , ,-, , , , , , ,N, , ,245,184,590,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:53:39.888, ,6,x,x,O,U,U,Y,1548034861,Norm,N,Y,1,16,-, , , ,-, , , , , , ,N, , ,159,187,467,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:40.754,06/11/2024 14:53:40.467,6,x,x,O,U,U,Y,1548032906,Norm,N,Y,1,19,004-10324599,V, ,Y,IAG,25, ,1,72, , ,N,2, ,179,194,516,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:53:42.985, ,6,x,x,O,U,U,Y,1548034893,Norm,N,Y,1,16,-, , , ,-, , , , , , ,N, , ,161,181,457,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:44.123, ,6,x,x,O,U,U,Y,1548034897,Norm,N,Y,1,18,-, , , ,-, , , , , , ,N, , ,187,196,593,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:50.279,06/11/2024 14:53:50.104,6,x,x,O,U,U,Y,1548032940,Norm,N,Y,1,30,008-09097521,V, ,Y,IAG,21, ,1,72, , ,N,2, ,180,193,507,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:56.152,06/11/2024 14:53:55.835,6,x,x,O,U,U,Y,1548032976,Norm,N,Y,1,30,008-16631753,V, ,Y,IAG,20, ,1,72, , ,N,2, ,248,221,598,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:53:57.103,06/11/2024 14:53:56.982,6,x,x,O,U,U,Y,1548032983,Norm,N,Y,1,31,005-04044536,V,S,Y,IAG,26, ,1,72, , ,N,2, ,142,168,472,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:53:57.709,06/11/2024 14:53:57.483,6,x,x,O,U,U,Y,1548032997,Norm,N,Y,1,28,008-13329658,V, ,Y,IAG,24, ,1,72, , ,N,2, ,188,202,540,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:53:57.926,06/11/2024 14:53:57.689,6,x,x,O,U,U,Y,1548032998,Norm,N,Y,1,31,005-03274511,B,C,Y,IAG,13, ,1,72, , ,N,2, ,139,186,507,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:01.902,06/11/2024 14:54:01.764,6,x,x,O,U,U,Y,1548033262,Norm,N,Y,1,30,022-13572543,B, ,Y,IAG,24, ,1,72, , ,N,2, ,163,183,461,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:06.497,06/11/2024 14:54:06.211,6,x,x,O,U,U,Y,1548033408,Norm,N,Y,1,20,022-11570474,V,SC,Y,IAG,34, ,1,72, , ,N,2, ,155,187,421,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:54:06.535, ,6,x,x,O,U,U,Y,1548035068,Norm,N,Y,1,35,-, , , ,-, , , , , , ,N, , ,134,170,491,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:07.879, ,6,x,x,O,U,U,Y,1548035093,Norm,N,Y,1,21,-, , , ,-, , , , , , ,N, , ,162,182,474,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:54:08.205,06/11/2024 14:54:08.098,6,x,x,O,U,U,Y,1548033407,Norm,N,Y,1,35,004-08641783,V, ,Y,IAG,16, ,1,72, , ,N,2, ,138,165,488,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:11.129,06/11/2024 14:54:10.828,6,x,x,O,U,U,Y,1548033447,Norm,N,Y,1,19,005-03590451,V,C,Y,IAG,29, ,1,72, , ,N,2, ,171,204,514,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,2,06/11/2024 14:54:12.219, ,6,x,x,O,U,U,Y,1548035128,Norm,N,Y,1,22,-, , , ,-, , , , , , ,Y, , ,330,260,1436,0,4,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:12.718,06/11/2024 14:54:12.594,6,x,x,O,U,U,Y,1548033453,Norm,N,Y,1,19,005-04970849,V, ,Y,IAG,10, ,1,72, , ,N,2, ,161,186,477,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:15.502, ,6,x,x,O,U,U,Y,1548035172,Norm,N,Y,1,20,-, , , ,-, , , , , , ,N, , ,204,187,639,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:54:16.616,06/11/2024 14:54:16.360,6,x,x,O,U,U,Y,1548033472,Norm,N,Y,1,29,005-04651781,B, ,Y,IAG,26, ,1,72, , ,N,2, ,188,200,594,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:18.178,06/11/2024 14:54:17.957,6,x,x,O,U,U,Y,1548033494,Norm,N,Y,1,20,005-04974023,V, ,Y,IAG,14, ,1,72, , ,N,2, ,182,192,500,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:20.507,06/11/2024 14:54:20.223,6,x,x,O,U,U,Y,1548033514,Norm,N,Y,1,20,008-15956871,I, ,N,IAG,30, ,1,72, , ,N,2, ,183,189,511,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:22.352,06/11/2024 14:54:22.136,6,x,x,O,U,U,Y,1548033526,Norm,N,Y,1,20,004-05998957,V, ,Y,IAG,37, ,1,72, , ,N,2, ,139,191,511,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:24.162,06/11/2024 14:54:23.968,6,x,x,O,U,U,Y,1548033541,Norm,N,Y,1,21,022-13330582,V, ,Y,IAG,33, ,1,264, , ,N,2, ,180,183,476,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:25.899, ,6,x,x,O,U,U,Y,1548035238,Norm,N,Y,1,20,-, , , ,-, , , , , , ,N, , ,204,188,556,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:27.355,06/11/2024 14:54:27.249,6,x,x,O,U,U,Y,1548033571,Norm,N,Y,1,20,022-13239205,V, ,Y,IAG,41, ,1,72, , ,N,2, ,135,184,479,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:29.045, ,6,x,x,O,U,U,Y,1548035257,Norm,N,Y,1,19,-, , , ,-, , , , , , ,N, , ,160,188,478,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:30.700,06/11/2024 14:54:30.575,6,x,x,O,U,U,Y,1548033598,Norm,N,Y,1,19,022-11213833,I, ,N,IAG,42, ,1,72, , ,N,2, ,154,174,446,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:54:31.506,06/11/2024 14:54:31.427,6,x,x,O,U,U,Y,1548033591,Norm,N,Y,1,31,005-04055921,V, ,Y,IAG,26, ,1,72, , ,N,2, ,157,176,473,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:54:33.083,06/11/2024 14:54:32.905,6,x,x,O,U,U,Y,1548033605,Norm,N,Y,1,30,022-14496962,V, ,Y,IAG,12, ,1,72, , ,N,2, ,138,177,478,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:33.712, ,6,x,x,O,U,U,Y,1548035281,Norm,N,Y,1,18,-, , , ,-, , , , , , ,N, , ,137,192,467,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:35.437, ,6,x,x,O,U,U,Y,1548035293,Norm,N,Y,1,17,-, , , ,-, , , , , , ,N, , ,139,181,528,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:54:35.864,06/11/2024 14:54:35.657,6,x,x,O,U,U,Y,1548033621,Norm,N,Y,1,26,005-03400821,V,N,Y,IAG,31, ,1,72, , ,N,2, ,188,204,545,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:38.170,06/11/2024 14:54:37.924,6,x,x,O,U,U,Y,1548033668,Norm,N,Y,1,20,022-15248635,V, ,Y,IAG,26, ,1,72, , ,N,2, ,183,193,542,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:39.818,06/11/2024 14:54:39.578,6,x,x,O,U,U,Y,1548033681,Norm,N,Y,1,20,022-13363891,V,SC,Y,IAG,24, ,1,72, , ,N,2, ,159,189,475,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,8,06/11/2024 14:54:39.832,06/11/2024 14:42:05.677,0,x,x,O,E,N,Y,1548031308,Spur,N,Y,8,0,005-04826012,V,N,N,IAG,16, ,1,72, , ,N,2, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:42.899, ,6,x,x,O,U,U,Y,1548035348,Norm,N,Y,1,17,-, , , ,-, , , , , , ,N, , ,185,208,604,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:54:43.953,06/11/2024 14:54:43.816,6,x,x,O,U,U,Y,1548033732,Norm,N,Y,1,28,008-08346405,V, ,Y,IAG,18, ,1,72, , ,N,2, ,159,193,477,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:45.494,06/11/2024 14:54:45.274,6,x,x,O,U,U,Y,1548033776,Norm,N,Y,1,15,021-03477409,V, ,Y,IAG,48, ,1,72, , ,N,2, ,160,188,466,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:54:47.345,06/11/2024 14:54:47.170,6,x,x,O,U,U,Y,1548033777,Norm,N,Y,1,25,005-04450294,V,C,Y,IAG,32, ,1,72, , ,N,2, ,162,174,480,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:48.671, ,6,x,x,O,U,U,Y,1548035395,Norm,N,Y,1,16,-, , , ,-, , , , , , ,N, , ,264,184,617,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:54:49.825,06/11/2024 14:54:49.687,6,x,x,O,U,U,Y,1548033795,Norm,N,Y,1,27,008-15921167,V, ,Y,IAG,28, ,1,72, , ,N,2, ,135,190,474,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:54:50.524, ,6,x,x,O,U,U,Y,1548035412,Norm,N,Y,1,15,-, , , ,-, , , , , , ,N, , ,169,207,518,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
